scholar_id,name,affiliation,email_domain,interests,title,num_citations,pub_year
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),,4086,
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),,1494,
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),,1093,
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),,946,
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),,943,
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),,825,
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),,698,
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),,557,
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),,439,
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),,284,
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),,232,
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),,199,
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),,57,
